"","EXPID","PEAKID","YEAR","SEASON","SEASON_FACTOR","HOST","HOST_FACTOR","ROUTE1","ROUTE2","ROUTE3","ROUTE4","NATION","LEADERS","SPONSOR","SUCCESS1","SUCCESS2","SUCCESS3","SUCCESS4","ASCENT1","ASCENT2","ASCENT3","ASCENT4","CLAIMED","DISPUTED","COUNTRIES","APPROACH","BCDATE","SMTDATE","SMTTIME","SMTDAYS","TOTDAYS","TERMDATE","TERMREASON","TERMREASON_FACTOR","TERMNOTE","HIGHPOINT","TRAVERSE","SKI","PARAPENTE","CAMPS","ROPE","TOTMEMBERS","SMTMEMBERS","MDEATHS","TOTHIRED","SMTHIRED","HDEATHS","NOHIRED","O2USED","O2NONE","O2CLIMB","O2DESCENT","O2SLEEP","O2MEDICAL","O2TAKEN","O2UNKWN","OTHERSMTS","CAMPSITES","ROUTEMEMO","ACCIDENTS","ACHIEVMENT","AGENCY","COMRTE","STDRTE","PRIMRTE","PRIMMEM","PRIMREF","PRIMID","CHKSUM"
"1","TKRG10101","TKRG",2010,1,"Spring",1,"Nepal","E Face-S Ridge",NA,NA,NA,"USA","David Gottlieb","Takargo 2010",TRUE,FALSE,FALSE,FALSE,"1st",NA,NA,NA,FALSE,FALSE,NA,NA,2010-03-06,2010-03-12,"1430",6,8,2010-03-14,1,"Success (main peak)",NA,6771,FALSE,FALSE,FALSE,0,0,3,2,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(06/03,4750m),Smt(12/03)","139774",NA,"1st ascent","Climb High Himalaya",FALSE,FALSE,FALSE,FALSE,FALSE,NA,2458943
"2","AMPG10101","AMPG",2010,1,"Spring",1,"Nepal","NE Ridge of Amphu East",NA,NA,NA,"UK","John Allen","British Amphu Expedition",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,"Via Chhukung",2010-04-05,NA,NA,0,4,2010-04-09,12,"Did not attempt climb","Abandoned at 5900m due to loose rock on Amphu East",0,FALSE,FALSE,FALSE,0,0,3,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Attempted Amphu East","BC(05/04,5100m),Biv.Amphu East(06/04,5600m),Amphu East.xxx(07/04,5900m)","139810",NA,NA,"Summit Nepal Trekking",FALSE,FALSE,FALSE,FALSE,FALSE,NA,4935
"3","AMAD10101","AMAD",2010,1,"Spring",1,"Nepal","SW Ridge",NA,NA,NA,"Andorra","Orial Ribas","Andorrans to Ama Dablam",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,2010-04-05,2010-04-21,NA,16,17,2010-04-22,4,"Bad weather (storms, high winds)","Abandoned at 6500m due to high winds",6500,FALSE,FALSE,FALSE,0,0,2,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(05/04,4500m),Biv1(07/04,5500m),Biv2(21/04,5800m),C3(22/04,6100m),xxx(21/04,6500m)","139885",NA,"1st Andorran attempt","Thamserku Trekking",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2459973
"4","AMAD10102","AMAD",2010,1,"Spring",1,"Nepal","SW Ridge",NA,NA,NA,"Kazakhstan","Dmitri Suponnikov","Ama Dablam Expedition",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Russia","Phakding->Namche->Porchtuga->Machermo->Zongla->Pangboche",2010-04-20,2010-04-27,"1600",7,10,2010-04-30,1,"Success (main peak)",NA,6814,FALSE,FALSE,FALSE,3,600,2,1,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(20/04,5300m),C1(21/04,5800m),C2(22/04,6000m),C3(23/04,6270m),Smt(27/04)","139906","Ivanova suffered from breathing difficulty","1st climber to summit in the season","Durga Tamang (Himalayan Guides pmt)",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2459979
"5","AMAD10103","AMAD",2010,1,"Spring",1,"Nepal","SW Ridge",NA,NA,NA,"Russia","Sergei Kofanov","Media Arts Ama Dablam Expedition",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Ukraine","Lukla->Namche->Pangboche->ABC",2010-04-04,2010-04-10,"1600",6,9,2010-04-13,1,"Success (main peak)",NA,6814,FALSE,FALSE,FALSE,3,600,4,4,0,2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(04/04,4000m),ABC(05/04,5100m),C1(06/04,5800m),C2(07/04,5900m),C3(08/04,6300m),Smt(10/04)","139925",NA,NA,"Royal Mountain Travel",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2459962
"6","AMAD10104","AMAD",2010,1,"Spring",1,"Nepal","SW Ridge",NA,NA,NA,"Russia","Volodymyr Khytrykov","Seven Summits Club Ama Dablam",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Canada, Kazakhstan, Ukraine","Namche",2010-05-03,2010-05-13,NA,10,12,2010-05-15,1,"Success (main peak)",NA,6814,FALSE,FALSE,FALSE,3,0,4,3,0,2,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(03/05,4500m),ABC(04/05,5200m),C1(05/05,5780m),C2(11/05,5900m),C3(12/05,6080m),Smt(13/05)","139933","Kovalev pneumonia, hypostasis of lungs",NA,"Royal Mountain Travel",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2459995
"7","AMAD10105","AMAD",2010,1,"Spring",1,"Nepal","SW Ridge",NA,NA,NA,"Russia","Evgeny Voronov","Two Russians on Ama Dablam",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,"Lukla->Namche->Pangboche",2010-04-26,2010-05-02,"1600",6,9,2010-05-05,1,"Success (main peak)",NA,6814,FALSE,FALSE,FALSE,2,0,2,2,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(26/04,5450m),ABC(29/04,5450m),C2(30/04,6000m),C3(01/05,6300m),Smt(02/05)","139941",NA,NA,"Royal Mountain Travel",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2459984
"8","AMAD10106","AMAD",2010,1,"Spring",1,"Nepal","SW Ridge",NA,NA,NA,"Russia","Dmitri Bezruchko","Russian team to Ama Dablam",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,2010-04-17,2010-04-26,NA,9,11,2010-04-28,7,"Illness, AMS, exhaustion, or frostbite","Abandoned at 6500m due to frostbitten fingers of leader",6500,FALSE,FALSE,FALSE,2,80,6,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(17/04),ABC(19/04,5300m),C2(22/04,6040m),C3(25/04,6400m),xxx(26/04,6500m)","139946",NA,NA,"Royal Mountain Travel",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2459978
"9","AMAD10107","AMAD",2010,1,"Spring",1,"Nepal","SW Ridge",NA,NA,NA,"France","Mathias Le Douce","Frenchman on Ama Dablam",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,"Namche->Pangboche",2010-04-29,2010-05-04,NA,5,6,2010-05-05,5,"Bad conditions (deep snow, avalanching, falling ice, or rock)","Abandoned at 5900m due to too much snow",5900,FALSE,FALSE,FALSE,1,0,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(29/04,4600m),C1(03/05,5600m),xxx(04/05,5900m)","139955",NA,NA,"South Asian Treks",TRUE,FALSE,FALSE,FALSE,FALSE,NA,2459986
"10","AMAD10108","AMAD",2010,1,"Spring",1,"Nepal","SW Ridge",NA,NA,NA,"USA","Dick Morse","US Ama Dablam and Lhotse Expedition",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,"Pangboche",2010-03-21,2010-04-12,NA,22,25,2010-04-15,5,"Bad conditions (deep snow, avalanching, falling ice, or rock)","Abandoned at 6300m due to rock fall, bad conditions",6300,FALSE,FALSE,FALSE,2,800,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Attempted Lhotse (LHOT-101-03)","BC(21/03,4700m),C1(01/04,5700m),C2(12/04,6100m),xxx(12/04,6300m)","139959",NA,NA,"Peak Promotion",TRUE,FALSE,FALSE,FALSE,FALSE,"LHOT10103",2459964
